"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1",0,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.0279600031673908,NA,325.9,NA
"2",900,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.0307999968528748,NA,281.9,NA
"3",1800,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.0440099999308586,NA,282.6,NA
"4",2700,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.0625500001013279,NA,299.1,NA
"5",3600,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.0904899947345257,1.17446425852604,337,781048.450301487
"6",4500,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.12494999691844,1.40039904481848,405.6,6311224.69483869
"7",5400,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.16446001008153,1.31825056159159,513.5,8543765.12951915
"8",6300,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.204860008507967,1.18636062200616,671.4,10352690.1993078
"9",7200,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.247809991240501,1.00742299898368,884.9,11845490.4481708
"10",8100,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.297640004009008,0.867971083379765,1081.1,11694494.5506455
"11",9000,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.356190007179976,0.772796875659975,1271.7,10738024.6225669
"12",9900,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.422259996831417,0.723294370017042,1452.3,9194510.53701631
"13",10800,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.469850028306246,0.639751266916098,1593.8,7113700.23910554
"14",11700,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.517820005863905,0.553742986849066,1726.8,5631759.39178633
"15",12600,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.563269986957312,0.458294747234399,1843.3,4416950.31272691
"16",13500,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.622619991749525,0.388315137037952,1978.9,3651562.88361641
"17",14400,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.657039994746447,0.335331336361793,2049.3,2896559.0256194
"18",15300,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.687390015274286,0.283274136112613,2103.2,2222732.5555984
"19",16200,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.708200010657311,0.228967490988329,2196.9,1965342.19372087
"20",17100,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.73053001537919,0.159833951567382,2236.7,1362507.25593347
"21",18000,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.747140026837587,0.128507728388844,2282.1,1186981.25523186
"22",18900,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.765459982305765,0.10757509822747,2300.6,976497.216255077
"23",19800,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.779819986224174,0.0963365514299097,2339.6,688420.45623066
"24",20700,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.792339975386858,0.0812202423986047,2365.6,608132.018387231
"25",21600,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.802189991623163,0.0710928572715319,2395.7,526068.001850285
"26",22500,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.815489993989468,0.0633122150122037,2417.6,532450.13969157
"27",23400,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.826690004765987,0.0583666755080133,2431.8,413192.487006824
"28",24300,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.83595999777317,0.0535902008262433,2456.5,401751.188937084
"29",25200,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.844760028272867,0.0517071197181705,2449,232576.742854098
"30",26100,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.854300011694431,0.0464932816467439,2470.8,229244.467976998
"31",27000,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.864110027998686,0.044270326252614,2467.7,152917.064432123
