"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1",0,"B3","MCH50","R2",1,"1 MCH50 R2",0.0221600018441677,NA,5.24924709198796,NA
"2",900,"B3","MCH50","R2",1,"1 MCH50 R2",0.0254000023007393,NA,3.85155574098809,NA
"3",1800,"B3","MCH50","R2",1,"1 MCH50 R2",0.0358100026845932,NA,2.76633446783399,NA
"4",2700,"B3","MCH50","R2",1,"1 MCH50 R2",0.0547500021755695,NA,1.80348510469381,NA
"5",3600,"B3","MCH50","R2",1,"1 MCH50 R2",0.0843899957835674,1.33715991610658,1.23802082070228,-1.06482882971166
"6",4500,"B3","MCH50","R2",1,"1 MCH50 R2",0.125649993866682,1.59875095057211,0.92150639634537,1.10170236454227
"7",5400,"B3","MCH50","R2",1,"1 MCH50 R2",0.170659995824099,1.56144598966128,0.789660868826376,1.51513290281248
"8",6300,"B3","MCH50","R2",1,"1 MCH50 R2",0.215159989148378,1.36860447853688,0.794511303336502,2.21964717952483
"9",7200,"B3","MCH50","R2",1,"1 MCH50 R2",0.260409995913506,1.12680843515605,0.928997953849501,3.21029082546236
"10",8100,"B3","MCH50","R2",1,"1 MCH50 R2",0.305340000241995,0.887925695444456,1.22154029454076,4.77521484473129
"11",9000,"B3","MCH50","R2",1,"1 MCH50 R2",0.353589992970228,0.728464781300151,1.55802156921265,6.37680167010223
"12",9900,"B3","MCH50","R2",1,"1 MCH50 R2",0.407359997928143,0.638315423313067,1.8545226710217,7.58189870730878
"13",10800,"B3","MCH50","R2",1,"1 MCH50 R2",0.449049974232912,0.544876886373348,2.13776264783374,8.08719610546852
"14",11700,"B3","MCH50","R2",1,"1 MCH50 R2",0.492420022934675,0.47790614682377,2.3111139808555,7.62096754673933
"15",12600,"B3","MCH50","R2",1,"1 MCH50 R2",0.53496999964118,0.414072639947213,2.32559494682158,6.19670862898353
