,well,time,rbs,cds,experiment,GFP,OD660,mCherry
0,C10,0,R0.25,MCH75,1,0.20000000000000284,0.061099994927644743,1333.3
1,C10,900,R0.25,MCH75,1,2.0999999999999943,0.061009998619556624,1120.7
2,C10,1800,R0.25,MCH75,1,2.799999999999997,0.06059000119566958,1045.3
3,C10,2700,R0.25,MCH75,1,0.5,0.062400002777576805,1026.2
4,C10,3600,R0.25,MCH75,1,1.4000000000000057,0.06829999759793273,1030.1
5,C10,4500,R0.25,MCH75,1,2.0,0.07837000489234924,1017.9
6,C10,5400,R0.25,MCH75,1,2.200000000000003,0.0948099970817566,1030.9
7,C10,6300,R0.25,MCH75,1,0.7999999999999972,0.11970999836921725,1046.9
8,C10,7200,R0.25,MCH75,1,2.0999999999999943,0.15426999256014817,1073.6
9,C11,0,R0.25,MCH90,1,5.200000000000003,0.052499998360872754,500.3
10,C11,900,R0.25,MCH90,1,3.0999999999999943,0.04911000579595563,367.7
11,C11,1800,R0.25,MCH90,1,3.799999999999997,0.04888999685645058,350.3
12,C11,2700,R0.25,MCH90,1,0.5,0.0513999953866008,339.2
13,C11,3600,R0.25,MCH90,1,3.4000000000000057,0.05730000510811775,338.1
14,C11,4500,R0.25,MCH90,1,3.0,0.06626999378204323,343.9
15,C11,5400,R0.25,MCH90,1,3.200000000000003,0.07951000630855558,356.9
16,C11,6300,R0.25,MCH90,1,2.799999999999997,0.09881000220775626,352.9
17,C11,7200,R0.25,MCH90,1,4.099999999999994,0.12517000660300215,364.6
18,C2,0,R0.25,GFP10,1,1728.2,0.08219999447464975,1.3000000000000007
19,C2,900,R0.25,GFP10,1,1401.1,0.07130999416112861,-1.3000000000000007
20,C2,1800,R0.25,GFP10,1,1372.8,0.06978999301791157,1.3000000000000007
21,C2,2700,R0.25,GFP10,1,1331.5,0.0690999969840048,-0.8000000000000007
22,C2,3600,R0.25,GFP10,1,1324.4,0.06880000606179273,1.0999999999999996
23,C2,4500,R0.25,GFP10,1,1345.0,0.07006999850273124,0.9000000000000004
24,C2,5400,R0.25,GFP10,1,1349.2,0.07290999889373757,-1.0999999999999996
25,C2,6300,R0.25,GFP10,1,1363.8,0.07740999758243525,-1.0999999999999996
26,C2,7200,R0.25,GFP10,1,1372.1,0.08367000445723517,-1.4000000000000004
27,C3,0,R0.25,GFP25,1,1839.2,0.06929999962449075,0.3000000000000007
28,C3,900,R0.25,GFP25,1,1651.1,0.07201000601053263,-2.3000000000000007
29,C3,1800,R0.25,GFP25,1,1618.8,0.07039000317454357,-0.6999999999999993
30,C3,2700,R0.25,GFP25,1,1566.5,0.0704000040888788,-0.8000000000000007
31,C3,3600,R0.25,GFP25,1,1558.4,0.07400000467896475,-1.9000000000000004
32,C3,4500,R0.25,GFP25,1,1583.0,0.08126999437809024,-0.09999999999999964
33,C3,5400,R0.25,GFP25,1,1594.2,0.09460999369621258,-0.09999999999999964
34,C3,6300,R0.25,GFP25,1,1613.8,0.11551000177860224,-0.09999999999999964
35,C3,7200,R0.25,GFP25,1,1623.1,0.1471700064837932,-3.4000000000000004
36,C4,0,R0.25,GFP50,1,2678.2,0.07140000537037876,2.3000000000000007
37,C4,900,R0.25,GFP50,1,2194.1,0.07160999923944462,0.6999999999999993
38,C4,1800,R0.25,GFP50,1,2146.8,0.06959000453352958,1.3000000000000007
39,C4,2700,R0.25,GFP50,1,2091.5,0.06889999359846079,1.1999999999999993
40,C4,3600,R0.25,GFP50,1,2099.4,0.07050000503659273,-0.9000000000000004
41,C4,4500,R0.25,GFP50,1,2136.0,0.07397000491619124,-1.0999999999999996
42,C4,5400,R0.25,GFP50,1,2175.2,0.0803100049495696,-0.09999999999999964
43,C4,6300,R0.25,GFP50,1,2223.8,0.09101000428199726,-0.09999999999999964
44,C4,7200,R0.25,GFP50,1,2266.1,0.10686999484896618,-0.40000000000000036
45,C5,0,R0.25,GFP75,1,2509.2,0.07750000432133676,0.3000000000000007
46,C5,900,R0.25,GFP75,1,2188.1,0.09031000286340761,0.6999999999999993
47,C5,1800,R0.25,GFP75,1,2127.8,0.08138999566435857,1.3000000000000007
48,C5,2700,R0.25,GFP75,1,2056.5,0.0836000040173528,1.1999999999999993
49,C5,3600,R0.25,GFP75,1,2035.4,0.08350000157952275,0.09999999999999964
50,C5,4500,R0.25,GFP75,1,2060.0,0.09116999804973622,-1.0999999999999996
51,C5,5400,R0.25,GFP75,1,2084.2,0.10401000380516058,1.9000000000000004
52,C5,6300,R0.25,GFP75,1,2106.8,0.12431000173091925,0.9000000000000004
53,C5,7200,R0.25,GFP75,1,2132.1,0.15577000305056615,0.5999999999999996
54,C6,0,R0.25,GFP90,1,2871.2,0.07439999654889075,-0.6999999999999993
55,C6,900,R0.25,GFP90,1,2287.1,0.08241000324487661,1.6999999999999993
56,C6,1800,R0.25,GFP90,1,2243.8,0.07978999838232957,-0.6999999999999993
57,C6,2700,R0.25,GFP90,1,2160.5,0.07850000709295281,-0.8000000000000007
58,C6,3600,R0.25,GFP90,1,2157.4,0.08059999719262173,1.0999999999999996
59,C6,4500,R0.25,GFP90,1,2198.0,0.08666999638080622,-1.0999999999999996
60,C6,5400,R0.25,GFP90,1,2221.2,0.09750999808311457,-1.0999999999999996
61,C6,6300,R0.25,GFP90,1,2254.8,0.11491000652313224,0.9000000000000004
62,C6,7200,R0.25,GFP90,1,2289.1,0.14016999229788818,-1.4000000000000004
63,C7,0,R0.25,MCH10,1,2.200000000000003,0.043200004845857745,857.3
64,C7,900,R0.25,MCH10,1,2.0999999999999943,0.04561000615358361,694.7
65,C7,1800,R0.25,MCH10,1,-0.20000000000000284,0.04649000093340856,665.3
66,C7,2700,R0.25,MCH10,1,1.5,0.047899995744228804,653.2
67,C7,3600,R0.25,MCH10,1,0.4000000000000057,0.050399992614984734,637.1
68,C7,4500,R0.25,MCH10,1,2.0,0.05377000570297222,640.9
69,C7,5400,R0.25,MCH10,1,2.200000000000003,0.058910000324249576,652.9
70,C7,6300,R0.25,MCH10,1,0.7999999999999972,0.06631000339984924,646.9
71,C7,7200,R0.25,MCH10,1,2.0999999999999943,0.07716999873518916,663.6
72,C8,0,R0.25,MCH25,1,2.200000000000003,0.06559999659657474,1459.3
73,C8,900,R0.25,MCH25,1,1.0999999999999943,0.06280999928712862,1129.7
74,C8,1800,R0.25,MCH25,1,1.7999999999999972,0.06259000524878457,1087.3
75,C8,2700,R0.25,MCH25,1,2.5,0.06600000411272079,1055.2
76,C8,3600,R0.25,MCH25,1,0.4000000000000057,0.07470000162720675,1059.1
77,C8,4500,R0.25,MCH25,1,1.0,0.08957000076770824,1058.9
78,C8,5400,R0.25,MCH25,1,1.2000000000000028,0.11381000578403459,1086.9
79,C8,6300,R0.25,MCH25,1,1.7999999999999972,0.15071000158786726,1099.9
80,C8,7200,R0.25,MCH25,1,1.0999999999999943,0.20166999027133015,1122.6
81,C9,0,R0.25,MCH50,1,3.200000000000003,0.07310000434517876,1390.3
82,C9,900,R0.25,MCH50,1,1.0999999999999943,0.07011000365018862,1091.7
83,C9,1800,R0.25,MCH50,1,1.7999999999999972,0.06998999640345556,1035.3
84,C9,2700,R0.25,MCH50,1,1.5,0.07290000170469281,1006.2
85,C9,3600,R0.25,MCH50,1,1.4000000000000057,0.08069999888539275,1007.1
86,C9,4500,R0.25,MCH50,1,2.0,0.09417000412941023,990.9
87,C9,5400,R0.25,MCH50,1,0.20000000000000284,0.11621000170707659,1023.9
88,C9,6300,R0.25,MCH50,1,2.799999999999997,0.15091000497341125,1050.9
89,C9,7200,R0.25,MCH50,1,3.0999999999999943,0.19686999842524516,1055.6
90,D10,0,R0.5,MCH75,1,-1.7999999999999972,0.05800000205635976,1051.3
91,D10,900,R0.5,MCH75,1,1.0999999999999943,0.055609996616840615,852.7
92,D10,1800,R0.5,MCH75,1,1.7999999999999972,0.054789992421865566,810.3
93,D10,2700,R0.5,MCH75,1,2.5,0.05650000721216179,805.2
94,D10,3600,R0.5,MCH75,1,2.4000000000000057,0.06070000305771875,794.1
95,D10,4500,R0.5,MCH75,1,0.0,0.06726999580860124,797.9
96,D10,5400,R0.5,MCH75,1,1.2000000000000028,0.07790999412536657,794.9
97,D10,6300,R0.5,MCH75,1,1.7999999999999972,0.09291000664234125,811.9
98,D10,7200,R0.5,MCH75,1,1.0999999999999943,0.11367000564932818,840.6
99,D11,0,R0.5,MCH90,1,-1.7999999999999972,0.058300007134675744,220.3
100,D11,900,R0.5,MCH90,1,5.099999999999994,0.053709994256496627,182.7
101,D11,1800,R0.5,MCH90,1,4.799999999999997,0.05389000698924058,177.3
102,D11,2700,R0.5,MCH90,1,3.5,0.057000000774860796,174.2
103,D11,3600,R0.5,MCH90,1,5.400000000000006,0.06440000608563473,174.1
104,D11,4500,R0.5,MCH90,1,5.0,0.07547000050544722,171.9
105,D11,5400,R0.5,MCH90,1,3.200000000000003,0.09320999979972859,178.9
106,D11,6300,R0.5,MCH90,1,4.799999999999997,0.11880999803543124,188.9
107,D11,7200,R0.5,MCH90,1,5.099999999999994,0.15466999933123615,195.6
108,D2,0,R0.5,GFP10,1,2007.2,0.07959999516606374,-0.6999999999999993
109,D2,900,R0.5,GFP10,1,1740.1,0.07150999754667263,0.6999999999999993
110,D2,1800,R0.5,GFP10,1,1708.8,0.06998999640345556,0.3000000000000007
111,D2,2700,R0.5,GFP10,1,1654.5,0.0697000071406368,0.1999999999999993
112,D2,3600,R0.5,GFP10,1,1663.4,0.07189999893307675,1.0999999999999996
113,D2,4500,R0.5,GFP10,1,1684.0,0.07786999642848924,-0.09999999999999964
114,D2,5400,R0.5,GFP10,1,1701.2,0.08921000659465757,-1.0999999999999996
115,D2,6300,R0.5,GFP10,1,1720.8,0.10591000318527224,0.9000000000000004
116,D2,7200,R0.5,GFP10,1,1740.1,0.13066999539732915,0.5999999999999996
117,D3,0,R0.5,GFP25,1,2017.2,0.07249999418854676,-0.6999999999999993
118,D3,900,R0.5,GFP25,1,1767.1,0.07371000498533263,0.6999999999999993
119,D3,1800,R0.5,GFP25,1,1739.8,0.07149000689387357,-0.6999999999999993
120,D3,2700,R0.5,GFP25,1,1680.5,0.0713000044226648,0.1999999999999993
121,D3,3600,R0.5,GFP25,1,1685.4,0.07449999824166276,-0.9000000000000004
122,D3,4500,R0.5,GFP25,1,1715.0,0.08177000284194924,0.9000000000000004
123,D3,5400,R0.5,GFP25,1,1735.2,0.09490999877452859,1.9000000000000004
124,D3,6300,R0.5,GFP25,1,1738.8,0.11610999703407326,-1.0999999999999996
125,D3,7200,R0.5,GFP25,1,1778.1,0.14586999937891915,-1.4000000000000004
126,D4,0,R0.5,GFP50,1,2304.2,0.08450000360608075,0.3000000000000007
127,D4,900,R0.5,GFP50,1,1932.1,0.07721000462770462,-0.3000000000000007
128,D4,1800,R0.5,GFP50,1,1891.8,0.07579000517725958,-0.6999999999999993
129,D4,2700,R0.5,GFP50,1,1837.5,0.0769999966025348,0.1999999999999993
130,D4,3600,R0.5,GFP50,1,1846.4,0.08290000632405276,-0.9000000000000004
131,D4,4500,R0.5,GFP50,1,1890.0,0.09286999702453622,0.9000000000000004
132,D4,5400,R0.5,GFP50,1,1921.2,0.11060999631881759,-1.0999999999999996
133,D4,6300,R0.5,GFP50,1,1962.8,0.13810999691486325,-1.0999999999999996
134,D4,7200,R0.5,GFP50,1,2021.1,0.18066999241709714,-0.40000000000000036
135,D5,0,R0.5,GFP75,1,2544.2,0.08000000193715075,1.3000000000000007
136,D5,900,R0.5,GFP75,1,2239.1,0.08190999478101761,0.6999999999999993
137,D5,1800,R0.5,GFP75,1,2187.8,0.07929000481963157,-1.6999999999999993
138,D5,2700,R0.5,GFP75,1,2140.5,0.07900000065565081,0.1999999999999993
139,D5,3600,R0.5,GFP75,1,2156.4,0.08270000293850874,-0.9000000000000004
140,D5,4500,R0.5,GFP75,1,2221.0,0.09086999297142023,-0.09999999999999964
141,D5,5400,R0.5,GFP75,1,2256.2,0.10520999431610158,-0.09999999999999964
142,D5,6300,R0.5,GFP75,1,2295.8,0.12670999765396126,0.9000000000000004
143,D5,7200,R0.5,GFP75,1,2380.1,0.1582700006663802,0.5999999999999996
144,D6,0,R0.5,GFP90,1,2970.2,0.08080000057816476,1.3000000000000007
145,D6,900,R0.5,GFP90,1,2360.1,0.08460999578237562,0.6999999999999993
146,D6,1800,R0.5,GFP90,1,2312.8,0.08269000276923157,0.3000000000000007
147,D6,2700,R0.5,GFP90,1,2242.5,0.08239999860525181,-1.8000000000000007
148,D6,3600,R0.5,GFP90,1,2241.4,0.08479999378323574,0.09999999999999964
149,D6,4500,R0.5,GFP90,1,2286.0,0.09116999804973622,-0.09999999999999964
150,D6,5400,R0.5,GFP90,1,2316.2,0.10231000483036058,0.9000000000000004
151,D6,6300,R0.5,GFP90,1,2323.8,0.11940999329090124,-0.09999999999999964
152,D6,7200,R0.5,GFP90,1,2389.1,0.14427000209689117,1.5999999999999996
153,D7,0,R0.5,MCH10,1,-1.7999999999999972,0.06230000033974674,993.3
154,D7,900,R0.5,MCH10,1,0.09999999999999432,0.05961000472307161,809.7
155,D7,1800,R0.5,MCH10,1,0.7999999999999972,0.06008999273180958,775.3
156,D7,2700,R0.5,MCH10,1,0.5,0.0629999980330468,752.2
157,D7,3600,R0.5,MCH10,1,-1.5999999999999943,0.07019999995827675,746.1
158,D7,4500,R0.5,MCH10,1,0.0,0.08136999607086223,736.9
159,D7,5400,R0.5,MCH10,1,1.2000000000000028,0.10051000416278859,756.9
160,D7,6300,R0.5,MCH10,1,0.7999999999999972,0.12930999696254725,780.9
161,D7,7200,R0.5,MCH10,1,0.09999999999999432,0.17067000195384013,799.6
162,D8,0,R0.5,MCH25,1,-1.7999999999999972,0.06459999457001676,1122.3
163,D8,900,R0.5,MCH25,1,1.0999999999999943,0.059510003030300615,921.7
164,D8,1800,R0.5,MCH25,1,1.7999999999999972,0.059790002554655566,880.3
165,D8,2700,R0.5,MCH25,1,1.5,0.0636999949812888,862.2
166,D8,3600,R0.5,MCH25,1,0.4000000000000057,0.07269999757409074,850.1
167,D8,4500,R0.5,MCH25,1,2.0,0.08766999840736422,867.9
168,D8,5400,R0.5,MCH25,1,1.2000000000000028,0.11080999970436058,877.9
169,D8,6300,R0.5,MCH25,1,2.799999999999997,0.14400999248027826,925.9
170,D8,7200,R0.5,MCH25,1,0.09999999999999432,0.19007000252604517,950.6
171,D9,0,R0.5,MCH50,1,-2.799999999999997,0.06189999356865876,1158.3
172,D9,900,R0.5,MCH50,1,1.0999999999999943,0.058409999310970614,951.7
173,D9,1800,R0.5,MCH50,1,0.7999999999999972,0.05778999850153958,909.3
174,D9,2700,R0.5,MCH50,1,2.5,0.05949999839067481,872.2
175,D9,3600,R0.5,MCH50,1,2.4000000000000057,0.06449999287724476,868.1
176,D9,4500,R0.5,MCH50,1,1.0,0.07186999917030323,874.9
177,D9,5400,R0.5,MCH50,1,1.2000000000000028,0.08361000120639757,879.9
178,D9,6300,R0.5,MCH50,1,-0.20000000000000284,0.09981000423431424,912.9
179,D9,7200,R0.5,MCH50,1,0.09999999999999432,0.12317000254988718,926.6
180,E10,0,R1,MCH75,1,-2.799999999999997,0.061600003391504746,1496.3
181,E10,900,R1,MCH75,1,3.0999999999999943,0.06070999354124061,1262.7
182,E10,1800,R1,MCH75,1,0.7999999999999972,0.06069000288844158,1190.3
183,E10,2700,R1,MCH75,1,1.5,0.0635000064969058,1169.2
184,E10,3600,R1,MCH75,1,2.4000000000000057,0.07200000062584874,1160.1
185,E10,4500,R1,MCH75,1,1.0,0.08717000484466522,1155.9
186,E10,5400,R1,MCH75,1,1.2000000000000028,0.11271000206470459,1194.9
187,E10,6300,R1,MCH75,1,0.7999999999999972,0.15091000497341125,1211.9
188,E10,7200,R1,MCH75,1,2.0999999999999943,0.20197001025080719,1244.6
189,E11,0,R1,MCH90,1,-4.799999999999997,0.05720000341534574,753.3
190,E11,900,R1,MCH90,1,4.099999999999994,0.052809993922710616,639.7
191,E11,1800,R1,MCH90,1,1.7999999999999972,0.052589999884366564,604.3
192,E11,2700,R1,MCH90,1,3.5,0.05550000518560379,586.2
193,E11,3600,R1,MCH90,1,2.4000000000000057,0.06289999559521675,586.1
194,E11,4500,R1,MCH90,1,1.0,0.07467000186443323,586.9
195,E11,5400,R1,MCH90,1,3.200000000000003,0.09351000487804458,607.9
196,E11,6300,R1,MCH90,1,4.799999999999997,0.12120999395847326,626.9
197,E11,7200,R1,MCH90,1,2.0999999999999943,0.1582700006663802,643.6
198,E2,0,R1,GFP10,1,1777.2,0.08129999414086374,1.3000000000000007
199,E2,900,R1,GFP10,1,1522.1,0.07091000229120263,-0.3000000000000007
200,E2,1800,R1,GFP10,1,1500.8,0.06939000114798556,-0.6999999999999993
201,E2,2700,R1,GFP10,1,1458.5,0.06889999359846079,-0.8000000000000007
202,E2,3600,R1,GFP10,1,1464.4,0.06989999487996074,1.0999999999999996
203,E2,4500,R1,GFP10,1,1488.0,0.07326999306678822,-1.0999999999999996
204,E2,5400,R1,GFP10,1,1509.2,0.08000999987125358,-1.0999999999999996
205,E2,6300,R1,GFP10,1,1524.8,0.08960999548435225,-0.09999999999999964
206,E2,7200,R1,GFP10,1,1550.1,0.10467000231146818,-0.40000000000000036
207,E3,0,R1,GFP25,1,1994.2,0.07079999521374676,-0.6999999999999993
208,E3,900,R1,GFP25,1,1664.1,0.07281000465154662,-0.3000000000000007
209,E3,1800,R1,GFP25,1,1626.8,0.07358999773859957,-0.6999999999999993
210,E3,2700,R1,GFP25,1,1572.5,0.07169999629259079,0.1999999999999993
211,E3,3600,R1,GFP25,1,1570.4,0.07599999383091974,1.0999999999999996
212,E3,4500,R1,GFP25,1,1589.0,0.08437000215053522,-3.0999999999999996
213,E3,5400,R1,GFP25,1,1606.2,0.09851000010967258,-0.09999999999999964
214,E3,6300,R1,GFP25,1,1622.8,0.12050999701023124,1.9000000000000004
215,E3,7200,R1,GFP25,1,1626.1,0.15526999458670615,0.5999999999999996
216,E4,0,R1,GFP50,1,2450.2,0.08290000632405274,0.3000000000000007
217,E4,900,R1,GFP50,1,2105.1,0.07750999480485961,0.6999999999999993
218,E4,1800,R1,GFP50,1,2054.8,0.07379000112414356,-0.6999999999999993
219,E4,2700,R1,GFP50,1,1998.5,0.0724999949336048,-0.8000000000000007
220,E4,3600,R1,GFP50,1,2006.4,0.07840000465512276,1.0999999999999996
221,E4,4500,R1,GFP50,1,2060.0,0.08226999640464822,-0.09999999999999964
222,E4,5400,R1,GFP50,1,2117.2,0.0948099970817566,-2.0999999999999996
223,E4,6300,R1,GFP50,1,2172.8,0.11000999808311426,-1.0999999999999996
224,E4,7200,R1,GFP50,1,2238.1,0.13747000619769117,-0.40000000000000036
225,E5,0,R1,GFP75,1,2634.2,0.08630000427365274,0.3000000000000007
226,E5,900,R1,GFP75,1,2259.1,0.08591000288724861,-1.3000000000000007
227,E5,1800,R1,GFP75,1,2212.8,0.08459000512957558,-0.6999999999999993
228,E5,2700,R1,GFP75,1,2135.5,0.08119999319314981,3.1999999999999993
