"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1",0,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0297428535563605,NA,63732.9567725564,NA
"2",900,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0253799994077001,NA,58973.3212006599,NA
"3",1800,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0327171444892883,NA,45609.1148323947,NA
"4",2700,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0433028544698443,NA,35560.8361882489,NA
"5",3600,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0586942860058376,0.679753493234259,28531.3730754305,-5820.02633894631
"6",4500,"B3","GGG","R0.5",4,"4 GGG R0.5",0.0774514336671148,1.11568963861559,24621.512324324,8634.72881796725
"7",5400,"B3","GGG","R0.5",4,"4 GGG R0.5",0.101268569486482,1.12987685468969,22207.9904947373,12072.2501854225
"8",6300,"B3","GGG","R0.5",4,"4 GGG R0.5",0.132422860605376,1.11778173585423,20684.3871349998,14513.2399151412
"9",7200,"B3","GGG","R0.5",4,"4 GGG R0.5",0.16387714275292,1.02677463775472,19933.3995977323,14914.3467049565
"10",8100,"B3","GGG","R0.5",4,"4 GGG R0.5",0.202617143946035,0.96166713034438,18615.1220162665,13759.3653720968
"11",9000,"B3","GGG","R0.5",4,"4 GGG R0.5",0.249208570591041,0.900514087235681,17031.7462709677,11746.5218681688
"12",9900,"B3","GGG","R0.5",4,"4 GGG R0.5",0.309268562921456,0.848209743305252,14771.4427033538,8649.83467398773
"13",10800,"B3","GGG","R0.5",4,"4 GGG R0.5",0.375631424571787,0.829491391297423,13012.4515536947,6232.71411930268
"14",11700,"B3","GGG","R0.5",4,"4 GGG R0.5",0.429600019752979,0.751536381265641,12071.8270586653,4514.75151702181
"15",12600,"B3","GGG","R0.5",4,"4 GGG R0.5",0.47641712299415,0.648003600566457,11614.791843562,3502.55575161566
"16",13500,"B3","GGG","R0.5",4,"4 GGG R0.5",0.517482869327068,0.514766386755802,11257.8467857663,2981.88199643798
"17",14400,"B3","GGG","R0.5",4,"4 GGG R0.5",0.573900013097695,0.423846779108082,10658.8502284508,2589.99637691558
"18",15300,"B3","GGG","R0.5",4,"4 GGG R0.5",0.618645710817405,0.364678162328583,10228.1943619523,2181.86443162418
"19",16200,"B3","GGG","R0.5",4,"4 GGG R0.5",0.651442846442972,0.312895887304065,9872.37138208212,1581.80982122916
"20",17100,"B3","GGG","R0.5",4,"4 GGG R0.5",0.676665713318757,0.268200952636204,9753.75054701419,1274.27709035478
"21",18000,"B3","GGG","R0.5",4,"4 GGG R0.5",0.694362881566797,0.190539520015984,9601.89574787722,855.494210470304
"22",18900,"B3","GGG","R0.5",4,"4 GGG R0.5",0.713417117936271,0.14253351599816,9528.58709435171,700.88503137732
