,codon,charging_rate,ecol,gfp_rbs_foldx,species,ribo_density
0,0.1,100.0,0.6,0.1,GFP,0.2533333333333333
1,0.1,100.0,0.6,0.1,cellularProtein,4.133666666666667
2,0.1,100.0,0.6,0.3,GFP,0.735
3,0.1,100.0,0.6,0.3,cellularProtein,4.066666666666666
4,0.1,100.0,0.6,1.0,GFP,2.27
5,0.1,100.0,0.6,1.0,cellularProtein,3.824666666666667
6,0.1,100.0,0.6,3.0,GFP,5.475
7,0.1,100.0,0.6,3.0,cellularProtein,3.293333333333333
8,0.1,100.0,0.6,10.0,GFP,11.448333333333334
9,0.1,100.0,0.6,10.0,cellularProtein,2.3
10,0.1,100.0,0.8,0.1,GFP,0.10666666666666666
11,0.1,100.0,0.8,0.1,cellularProtein,4.012333333333333
12,0.1,100.0,0.8,0.3,GFP,0.27666666666666667
13,0.1,100.0,0.8,0.3,cellularProtein,3.9993333333333334
14,0.1,100.0,0.8,1.0,GFP,1.0550000000000002
15,0.1,100.0,0.8,1.0,cellularProtein,3.8453333333333335
16,0.1,100.0,0.8,3.0,GFP,4.578333333333333
17,0.1,100.0,0.8,3.0,cellularProtein,3.227333333333333
18,0.1,100.0,0.8,10.0,GFP,13.16
19,0.1,100.0,0.8,10.0,cellularProtein,1.8416666666666668
20,0.1,100.0,1.0,0.1,GFP,0.026666666666666665
21,0.1,100.0,1.0,0.1,cellularProtein,4.225666666666667
22,0.1,100.0,1.0,0.3,GFP,0.14166666666666666
23,0.1,100.0,1.0,0.3,cellularProtein,4.157333333333333
24,0.1,100.0,1.0,1.0,GFP,0.4149999999999999
25,0.1,100.0,1.0,1.0,cellularProtein,4.154
26,0.1,100.0,1.0,3.0,GFP,1.6666666666666667
27,0.1,100.0,1.0,3.0,cellularProtein,3.9136666666666664
28,0.1,100.0,1.0,10.0,GFP,10.523333333333333
29,0.1,100.0,1.0,10.0,cellularProtein,2.2296666666666667
30,0.1,300.0,0.6,0.1,GFP,0.13999999999999999
31,0.1,300.0,0.6,0.1,cellularProtein,3.246666666666667
32,0.1,300.0,0.6,0.3,GFP,0.4133333333333334
33,0.1,300.0,0.6,0.3,cellularProtein,3.2659999999999996
34,0.1,300.0,0.6,1.0,GFP,1.5566666666666666
35,0.1,300.0,0.6,1.0,cellularProtein,3.1553333333333335
36,0.1,300.0,0.6,3.0,GFP,4.053333333333333
37,0.1,300.0,0.6,3.0,cellularProtein,2.8516666666666666
38,0.1,300.0,0.6,10.0,GFP,9.61
39,0.1,300.0,0.6,10.0,cellularProtein,2.1399999999999997
40,0.1,300.0,0.8,0.1,GFP,0.13166666666666665
41,0.1,300.0,0.8,0.1,cellularProtein,3.0533333333333337
42,0.1,300.0,0.8,0.3,GFP,0.36
43,0.1,300.0,0.8,0.3,cellularProtein,3.0456666666666665
44,0.1,300.0,0.8,1.0,GFP,1.2716666666666667
45,0.1,300.0,0.8,1.0,cellularProtein,2.9303333333333335
46,0.1,300.0,0.8,3.0,GFP,3.8699999999999997
47,0.1,300.0,0.8,3.0,cellularProtein,2.591666666666667
48,0.1,300.0,0.8,10.0,GFP,10.226666666666667
49,0.1,300.0,0.8,10.0,cellularProtein,1.7946666666666666
50,0.1,300.0,1.0,0.1,GFP,0.09
51,0.1,300.0,1.0,0.1,cellularProtein,3.2576666666666667
52,0.1,300.0,1.0,0.3,GFP,0.21166666666666667
53,0.1,300.0,1.0,0.3,cellularProtein,3.217
54,0.1,300.0,1.0,1.0,GFP,0.825
55,0.1,300.0,1.0,1.0,cellularProtein,3.124
56,0.1,300.0,1.0,3.0,GFP,2.56
57,0.1,300.0,1.0,3.0,cellularProtein,2.851
58,0.1,300.0,1.0,10.0,GFP,9.495000000000001
59,0.1,300.0,1.0,10.0,cellularProtein,1.7663333333333333
60,0.3,100.0,0.6,0.1,GFP,0.20666666666666664
61,0.3,100.0,0.6,0.1,cellularProtein,4.132666666666667
62,0.3,100.0,0.6,0.3,GFP,0.5850000000000001
63,0.3,100.0,0.6,0.3,cellularProtein,4.105666666666666
64,0.3,100.0,0.6,1.0,GFP,1.8733333333333335
65,0.3,100.0,0.6,1.0,cellularProtein,3.874666666666667
66,0.3,100.0,0.6,3.0,GFP,4.756666666666666
67,0.3,100.0,0.6,3.0,cellularProtein,3.4193333333333333
