,codon,charging_rate,ecol,gfp_rbs_foldx,species,protein
0,0.1,100.0,0.6,0.1,ATA_charged,92.0
1,0.1,100.0,0.6,0.1,TTT_charged,781.7
2,0.1,100.0,0.6,0.3,ATA_charged,89.1
3,0.1,100.0,0.6,0.3,TTT_charged,797.0
4,0.1,100.0,0.6,1.0,ATA_charged,87.8
5,0.1,100.0,0.6,1.0,TTT_charged,865.9666666666666
6,0.1,100.0,0.6,3.0,ATA_charged,84.5
7,0.1,100.0,0.6,3.0,TTT_charged,1000.1
8,0.1,100.0,0.6,10.0,ATA_charged,78.26666666666667
9,0.1,100.0,0.6,10.0,TTT_charged,1217.5
10,0.1,100.0,0.8,0.1,ATA_charged,357.73333333333335
11,0.1,100.0,0.8,0.1,TTT_charged,222.7
12,0.1,100.0,0.8,0.3,ATA_charged,333.96666666666664
13,0.1,100.0,0.8,0.3,TTT_charged,225.8
14,0.1,100.0,0.8,1.0,ATA_charged,275.93333333333334
15,0.1,100.0,0.8,1.0,TTT_charged,240.2
16,0.1,100.0,0.8,3.0,ATA_charged,147.56666666666666
17,0.1,100.0,0.8,3.0,TTT_charged,342.1333333333333
18,0.1,100.0,0.8,10.0,ATA_charged,85.23333333333333
19,0.1,100.0,0.8,10.0,TTT_charged,804.9333333333333
20,0.1,100.0,1.0,0.1,ATA_charged,744.0
21,0.1,100.0,1.0,0.1,TTT_charged,185.3
22,0.1,100.0,1.0,0.3,ATA_charged,722.7666666666667
23,0.1,100.0,1.0,0.3,TTT_charged,188.16666666666669
24,0.1,100.0,1.0,1.0,ATA_charged,670.2333333333333
25,0.1,100.0,1.0,1.0,TTT_charged,190.83333333333331
26,0.1,100.0,1.0,3.0,ATA_charged,496.6333333333333
27,0.1,100.0,1.0,3.0,TTT_charged,200.26666666666668
28,0.1,100.0,1.0,10.0,ATA_charged,155.33333333333331
29,0.1,100.0,1.0,10.0,TTT_charged,306.76666666666665
30,0.1,300.0,0.6,0.1,ATA_charged,296.43333333333334
31,0.1,300.0,0.6,0.1,TTT_charged,1083.4333333333334
32,0.1,300.0,0.6,0.3,ATA_charged,288.2
33,0.1,300.0,0.6,0.3,TTT_charged,1073.1333333333334
34,0.1,300.0,0.6,1.0,ATA_charged,274.06666666666666
35,0.1,300.0,0.6,1.0,TTT_charged,1118.6
36,0.1,300.0,0.6,3.0,ATA_charged,256.46666666666664
37,0.1,300.0,0.6,3.0,TTT_charged,1187.8333333333333
38,0.1,300.0,0.6,10.0,ATA_charged,226.73333333333335
39,0.1,300.0,0.6,10.0,TTT_charged,1341.5
40,0.1,300.0,0.8,0.1,ATA_charged,481.8666666666667
