,time,species,protein,ribo_density,ribo_density_ave,codon,speed,charging_rate,ecol
0,100.0,ATA_charged,102.0,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
1,100.0,ATA_uncharged,648.0,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
2,100.0,TTT_charged,1580.3333333333333,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
3,100.0,TTT_uncharged,169.66666666666666,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
4,100.0,__GFP_rbs,20.0,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
5,100.0,__cellularProtein_rbs,100.0,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
6,100.0,free ribosome,0.0,0.0,4.9350000000000005,0.7,0.125,10.0,0.2
7,100.0,cellularProtein,500.0,5.0,4.9350000000000005,0.7,0.125,10.0,0.2
8,100.0,ATA_charged,54.333333333333336,0.0,4.947952866666666,0.7,0.25,10.0,0.2
9,100.0,ATA_uncharged,695.6666666666666,0.0,4.947952866666666,0.7,0.25,10.0,0.2
10,100.0,TTT_charged,1558.3333333333333,0.0,4.947952866666666,0.7,0.25,10.0,0.2
11,100.0,TTT_uncharged,191.66666666666666,0.0,4.947952866666666,0.7,0.25,10.0,0.2
12,100.0,__GFP_rbs,20.0,0.0,4.947952866666666,0.7,0.25,10.0,0.2
13,100.0,__cellularProtein_rbs,100.0,0.0,4.947952866666666,0.7,0.25,10.0,0.2
14,100.0,free ribosome,0.0,0.0,4.947952866666666,0.7,0.25,10.0,0.2
15,100.0,cellularProtein,500.0,5.0,4.947952866666666,0.7,0.25,10.0,0.2
16,100.0,ATA_charged,30.0,0.0,4.95,0.7,0.5,10.0,0.2
17,100.0,ATA_uncharged,720.0,0.0,4.95,0.7,0.5,10.0,0.2
18,100.0,TTT_charged,1558.6666666666667,0.0,4.95,0.7,0.5,10.0,0.2
19,100.0,TTT_uncharged,191.33333333333334,0.0,4.95,0.7,0.5,10.0,0.2
20,100.0,__GFP_rbs,20.0,0.0,4.95,0.7,0.5,10.0,0.2
21,100.0,__cellularProtein_rbs,100.0,0.0,4.95,0.7,0.5,10.0,0.2
22,100.0,free ribosome,0.6666666666666666,0.0,4.95,0.7,0.5,10.0,0.2
23,100.0,cellularProtein,501.3333333333333,4.993333333333333,4.95,0.7,0.5,10.0,0.2
24,100.0,ATA_charged,13.0,0.0,4.952666666666667,0.7,1.0,10.0,0.2
25,100.0,ATA_uncharged,737.0,0.0,4.952666666666667,0.7,1.0,10.0,0.2
26,100.0,TTT_charged,1561.6666666666667,0.0,4.952666666666667,0.7,1.0,10.0,0.2
27,100.0,TTT_uncharged,188.33333333333334,0.0,4.952666666666667,0.7,1.0,10.0,0.2
28,100.0,__GFP_rbs,20.0,0.0,4.952666666666667,0.7,1.0,10.0,0.2
29,100.0,__cellularProtein_rbs,96.33333333333333,0.0,4.952666666666667,0.7,1.0,10.0,0.2
30,100.0,free ribosome,2.6666666666666665,0.0,4.952666666666667,0.7,1.0,10.0,0.2
31,100.0,cellularProtein,512.6666666666666,4.973333333333334,4.952666666666667,0.7,1.0,10.0,0.2
32,100.0,ATA_charged,9.666666666666666,0.0,4.948666666666666,0.7,2.0,10.0,0.2
33,100.0,ATA_uncharged,740.3333333333334,0.0,4.948666666666666,0.7,2.0,10.0,0.2
34,100.0,TTT_charged,1564.0,0.0,4.948666666666666,0.7,2.0,10.0,0.2
35,100.0,TTT_uncharged,186.0,0.0,4.948666666666666,0.7,2.0,10.0,0.2
36,100.0,__GFP_rbs,20.0,0.0,4.948666666666666,0.7,2.0,10.0,0.2
37,100.0,__cellularProtein_rbs,97.66666666666667,0.0,4.948666666666666,0.7,2.0,10.0,0.2
38,100.0,free ribosome,6.333333333333333,0.0,4.948666666666666,0.7,2.0,10.0,0.2
39,100.0,cellularProtein,525.0,4.9366666666666665,4.948666666666666,0.7,2.0,10.0,0.2
40,100.0,ATA_charged,4.666666666666667,0.0,4.953,0.7,4.0,10.0,0.2
41,100.0,ATA_uncharged,745.3333333333334,0.0,4.953,0.7,4.0,10.0,0.2
42,100.0,TTT_charged,1557.0,0.0,4.953,0.7,4.0,10.0,0.2
43,100.0,TTT_uncharged,193.0,0.0,4.953,0.7,4.0,10.0,0.2
44,100.0,__GFP_rbs,20.0,0.0,4.953,0.7,4.0,10.0,0.2
45,100.0,__cellularProtein_rbs,94.66666666666667,0.0,4.953,0.7,4.0,10.0,0.2
46,100.0,free ribosome,4.333333333333333,0.0,4.953,0.7,4.0,10.0,0.2
47,100.0,cellularProtein,529.6666666666666,4.956666666666667,4.953,0.7,4.0,10.0,0.2
48,100.0,ATA_charged,2.6666666666666665,0.0,4.947,0.7,8.0,10.0,0.2
49,100.0,ATA_uncharged,747.3333333333334,0.0,4.947,0.7,8.0,10.0,0.2
50,100.0,TTT_charged,1575.6666666666667,0.0,4.947,0.7,8.0,10.0,0.2
51,100.0,TTT_uncharged,174.33333333333334,0.0,4.947,0.7,8.0,10.0,0.2
52,100.0,__GFP_rbs,20.0,0.0,4.947,0.7,8.0,10.0,0.2
53,100.0,__cellularProtein_rbs,94.66666666666667,0.0,4.947,0.7,8.0,10.0,0.2
54,100.0,free ribosome,7.0,0.0,4.947,0.7,8.0,10.0,0.2
55,100.0,cellularProtein,539.6666666666666,4.93,4.947,0.7,8.0,10.0,0.2
56,100.0,ATA_charged,244.66666666666666,0.0,4.896333333333334,0.7,0.125,30.0,0.2
57,100.0,ATA_uncharged,505.3333333333333,0.0,4.896333333333334,0.7,0.125,30.0,0.2
58,100.0,TTT_charged,1612.3333333333333,0.0,4.896333333333334,0.7,0.125,30.0,0.2
59,100.0,TTT_uncharged,137.66666666666666,0.0,4.896333333333334,0.7,0.125,30.0,0.2
60,100.0,__GFP_rbs,20.0,0.0,4.896333333333334,0.7,0.125,30.0,0.2
61,100.0,__cellularProtein_rbs,100.0,0.0,4.896333333333334,0.7,0.125,30.0,0.2
62,100.0,free ribosome,0.3333333333333333,0.0,4.896333333333334,0.7,0.125,30.0,0.2
63,100.0,cellularProtein,1500.6666666666667,4.996666666666667,4.896333333333334,0.7,0.125,30.0,0.2
64,100.0,ATA_charged,150.0,0.0,4.896333333333334,0.7,0.25,30.0,0.2
65,100.0,ATA_uncharged,600.0,0.0,4.896333333333334,0.7,0.25,30.0,0.2
66,100.0,TTT_charged,1607.3333333333333,0.0,4.896333333333334,0.7,0.25,30.0,0.2
67,100.0,TTT_uncharged,142.66666666666666,0.0,4.896333333333334,0.7,0.25,30.0,0.2
68,100.0,__GFP_rbs,20.0,0.0,4.896333333333334,0.7,0.25,30.0,0.2
69,100.0,__cellularProtein_rbs,100.0,0.0,4.896333333333334,0.7,0.25,30.0,0.2
70,100.0,free ribosome,0.0,0.0,4.896333333333334,0.7,0.25,30.0,0.2
71,100.0,cellularProtein,2000.0,5.0,4.896333333333334,0.7,0.25,30.0,0.2
72,100.0,ATA_charged,83.66666666666667,0.0,4.869666666666666,0.7,0.5,30.0,0.2
73,100.0,ATA_uncharged,666.3333333333334,0.0,4.869666666666666,0.7,0.5,30.0,0.2
74,100.0,TTT_charged,1579.0,0.0,4.869666666666666,0.7,0.5,30.0,0.2
