,time,species,protein,ribo_density,delta,charging_rate,codon,ecol_comp,rbs_rate
21567,200.0,ATA_charged,6.666666666666667,0.0,0.666666666666667,10.0,0.7,0.34,100000.0
21568,200.0,ATA_uncharged,743.3333333333334,0.0,-0.6666666666666288,10.0,0.7,0.34,100000.0
21569,200.0,TTT_charged,1450.3333333333333,0.0,19.666666666666515,10.0,0.7,0.34,100000.0
21570,200.0,TTT_uncharged,299.6666666666667,0.0,-19.66666666666663,10.0,0.7,0.34,100000.0
21571,200.0,__cellularProtein_rbs,100.0,0.0,0.0,10.0,0.7,0.34,100000.0
21572,200.0,free ribosome,0.0,0.0,0.0,10.0,0.7,0.34,100000.0
21573,200.0,cellularProtein,2000.0,5.0,500.0,10.0,0.7,0.34,100000.0
21581,200.0,ATA_charged,26.666666666666668,0.0,-3.333333333333332,50.0,0.7,0.34,100000.0
21582,200.0,ATA_uncharged,723.3333333333334,0.0,3.3333333333333712,50.0,0.7,0.34,100000.0
21583,200.0,TTT_charged,1354.0,0.0,-46.33333333333326,50.0,0.7,0.34,100000.0
21584,200.0,TTT_uncharged,396.0,0.0,46.333333333333314,50.0,0.7,0.34,100000.0
21585,200.0,__cellularProtein_rbs,97.33333333333333,0.0,-0.6666666666666714,50.0,0.7,0.34,100000.0
21586,200.0,free ribosome,30.333333333333332,0.0,9.0,50.0,0.7,0.34,100000.0
21587,200.0,cellularProtein,10719.666666666666,4.696666666666666,2175.0,50.0,0.7,0.34,100000.0
21595,200.0,ATA_charged,49.333333333333336,0.0,-6.0,100.0,0.7,0.34,100000.0
21596,200.0,ATA_uncharged,700.6666666666666,0.0,6.0,100.0,0.7,0.34,100000.0
21597,200.0,TTT_charged,1398.0,0.0,5.3333333333332575,100.0,0.7,0.34,100000.0
21598,200.0,TTT_uncharged,352.0,0.0,-5.333333333333314,100.0,0.7,0.34,100000.0
21599,200.0,__cellularProtein_rbs,95.33333333333333,0.0,-1.0,100.0,0.7,0.34,100000.0
21600,200.0,free ribosome,49.333333333333336,0.0,-2.6666666666666643,100.0,0.7,0.34,100000.0
21601,200.0,cellularProtein,20884.666666666668,4.506666666666667,4231.333333333336,100.0,0.7,0.34,100000.0
21609,200.0,ATA_charged,135.0,0.0,-16.333333333333343,250.0,0.7,0.34,100000.0
21610,200.0,ATA_uncharged,615.0,0.0,16.33333333333337,250.0,0.7,0.34,100000.0
21611,200.0,TTT_charged,1439.6666666666667,0.0,-3.0,250.0,0.7,0.34,100000.0
21612,200.0,TTT_uncharged,310.3333333333333,0.0,3.0,250.0,0.7,0.34,100000.0
21613,200.0,__cellularProtein_rbs,97.33333333333333,0.0,2.3333333333333286,250.0,0.7,0.34,100000.0
21614,200.0,free ribosome,114.66666666666667,0.0,-4.333333333333329,250.0,0.7,0.34,100000.0
21615,200.0,cellularProtein,46030.0,3.853333333333333,9254.0,250.0,0.7,0.34,100000.0
21623,200.0,ATA_charged,263.0,0.0,-8.333333333333314,500.0,0.7,0.34,100000.0
21624,200.0,ATA_uncharged,487.0,0.0,8.333333333333314,500.0,0.7,0.34,100000.0
21625,200.0,TTT_charged,1502.3333333333333,0.0,-5.333333333333485,500.0,0.7,0.34,100000.0
21626,200.0,TTT_uncharged,247.66666666666666,0.0,5.333333333333314,500.0,0.7,0.34,100000.0
21627,200.0,__cellularProtein_rbs,97.33333333333333,0.0,0.3333333333333286,500.0,0.7,0.34,100000.0
21628,200.0,free ribosome,174.33333333333334,0.0,-7.333333333333314,500.0,0.7,0.34,100000.0
21629,200.0,cellularProtein,72172.33333333333,3.2566666666666664,14464.999999999993,500.0,0.7,0.34,100000.0
