Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,8/28/2024,,,,,,,,
Time:,1:41:24 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,52,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,92,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,660,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-G11,,,,,
Start Time:,8/28/2024 1:41:24 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7200
Temp. [°C],37,37.1,37.5,37.5,37,37,37.5,37.2,37
B2,80,67,68,67,68,69,68,69,71
B3,81,65,68,67,68,70,69,70,70
B4,83,69,71,70,68,71,69,70,71
B5,81,67,67,68,67,70,68,68,69
B6,80,66,68,67,67,67,66,69,70
B7,79,68,66,69,66,67,66,68,69
B8,77,67,69,70,69,69,68,70,70
B9,81,67,67,69,68,70,68,69,70
B10,77,65,69,68,67,68,68,69,68
B11,79,68,69,70,68,69,68,70,71
C2,1808,1468,1441,1400,1392,1414,1417,1433,1442
C3,1919,1718,1687,1635,1626,1652,1662,1683,1693
C4,2758,2261,2215,2160,2167,2205,2243,2293,2336
C5,2589,2255,2196,2125,2103,2129,2152,2176,2202
C6,2951,2354,2312,2229,2225,2267,2289,2324,2359
C7,82,69,68,70,68,71,70,70,72
C8,82,68,70,71,68,70,69,71,71
C9,83,68,70,70,69,71,68,72,73
C10,80,69,71,69,69,71,70,70,72
C11,85,70,72,69,71,72,71,72,74
D2,2087,1807,1777,1723,1731,1753,1769,1790,1810
D3,2097,1834,1808,1749,1753,1784,1803,1808,1848
D4,2384,1999,1960,1906,1914,1959,1989,2032,2091
D5,2624,2306,2256,2209,2224,2290,2324,2365,2450
D6,3050,2427,2381,2311,2309,2355,2384,2393,2459
D7,78,67,69,69,66,69,69,70,70
D8,78,68,70,70,68,71,69,72,70
D9,77,68,69,71,70,70,69,69,70
