time,well,iptg,strain,rbs,temp,OD660,fluor,mCherry,GFP
0.0,B2,0.01875,GFP75,R0.5,37.199999999999996,-0.056220001727342594,GFP,-1.9000000000000004,289.6
900.0,B2,0.01875,GFP75,R0.5,37.233333333333334,0.12588000893592835,GFP,0.5999999999999996,219.9
1800.0,B2,0.01875,GFP75,R0.5,37.06666666666667,0.13752999827265738,GFP,-1.7999999999999998,236.9
2700.0,B2,0.01875,GFP75,R0.5,37.03333333333333,0.15618001520633698,GFP,-0.5999999999999996,246.9
3600.0,B2,0.01875,GFP75,R0.5,37.1,0.16264000535011292,GFP,0.7000000000000002,278.8
4500.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.21703000515699386,GFP,-1.0999999999999996,392.6
5400.0,B2,0.01875,GFP75,R0.5,37.1,0.40359997600317,GFP,-0.09999999999999964,507.4
6300.0,B2,0.01875,GFP75,R0.5,37.1,0.2749100044369698,GFP,-1.0,672.1
7200.0,B2,0.01875,GFP75,R0.5,37.0,0.2994200199842453,GFP,-0.40000000000000036,898.8
8100.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.3691799834370613,GFP,-2.1999999999999993,1189.4
9000.0,B2,0.01875,GFP75,R0.5,37.06666666666667,0.4114599943161011,GFP,-1.7999999999999998,1485.5
9900.0,B2,0.01875,GFP75,R0.5,37.1,0.47932001799345014,GFP,-2.4000000000000004,1624.1
10800.0,B2,0.01875,GFP75,R0.5,37.03333333333333,0.5508399918675423,GFP,-1.2000000000000002,1814.2
11700.0,B2,0.01875,GFP75,R0.5,37.199999999999996,0.6109000265598297,GFP,0.20000000000000018,1945.3
12600.0,B2,0.01875,GFP75,R0.5,37.1,0.6635699972510338,GFP,0.0,2010.3
13500.0,B2,0.01875,GFP75,R0.5,37.06666666666667,0.7512799806892871,GFP,-0.7999999999999998,2100.2
14400.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.7784999780356884,GFP,-1.2999999999999998,2193.5
15300.0,B2,0.01875,GFP75,R0.5,37.199999999999996,0.8000799857079983,GFP,0.09999999999999964,2194.4
16200.0,B2,0.01875,GFP75,R0.5,37.333333333333336,0.8131299920380115,GFP,-1.4000000000000004,2191.1
17100.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.8173600390553475,GFP,0.40000000000000036,2207.1
18000.0,B2,0.01875,GFP75,R0.5,37.03333333333333,0.8265700340270996,GFP,0.0,2227.3
18900.0,B2,0.01875,GFP75,R0.5,37.1,0.8398900382220745,GFP,-0.09999999999999964,2250.1
19800.0,B2,0.01875,GFP75,R0.5,37.03333333333333,0.8555799633264541,GFP,-1.0,2220.3
20700.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.8946199990808964,GFP,1.5999999999999996,2299.6
21600.0,B2,0.01875,GFP75,R0.5,37.06666666666667,0.8886900015175343,GFP,-0.09999999999999964,2212.5
22500.0,B2,0.01875,GFP75,R0.5,37.16666666666667,0.9114699706435203,GFP,0.20000000000000018,2308.9
23400.0,B2,0.01875,GFP75,R0.5,37.233333333333334,0.8927100390195847,GFP,-1.0,2253.2
24300.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.9170000061392785,GFP,0.0,2296.8
25200.0,B2,0.01875,GFP75,R0.5,37.16666666666667,0.9244799584150314,GFP,0.2999999999999998,2252.1
26100.0,B2,0.01875,GFP75,R0.5,37.26666666666667,0.931880034506321,GFP,-0.9000000000000004,2251.2
27000.0,B2,0.01875,GFP75,R0.5,37.13333333333333,0.9645599611103535,GFP,-0.20000000000000018,2263.4
27900.0,B2,0.01875,GFP75,R0.5,37.199999999999996,0.982630018889904,GFP,1.2000000000000002,2274.4
28800.0,B2,0.01875,GFP75,R0.5,37.06666666666667,1.010809989273548,GFP,1.2000000000000002,2362.9
29700.0,B2,0.01875,GFP75,R0.5,37.03333333333333,1.019409964978695,GFP,-0.20000000000000018,2302.7
30600.0,B2,0.01875,GFP75,R0.5,37.166666666666664,1.0375499926507472,GFP,0.40000000000000036,2237.0
31500.0,B2,0.01875,GFP75,R0.5,37.233333333333334,0.9909300528466701,GFP,-1.2000000000000002,2290.7
32400.0,B2,0.01875,GFP75,R0.5,37.2,0.9961400330066681,GFP,-1.4000000000000004,2299.2
33300.0,B2,0.01875,GFP75,R0.5,37.166666666666664,0.9833099618554115,GFP,1.5,2215.9
34200.0,B2,0.01875,GFP75,R0.5,37.1,1.0087400399148465,GFP,0.2999999999999998,2232.0
35100.0,B2,0.01875,GFP75,R0.5,37.233333333333334,0.9963100038468837,GFP,-0.5,2421.6
36000.0,B2,0.01875,GFP75,R0.5,37.13333333333333,1.0169000543653965,GFP,-1.0,2419.4
36900.0,B2,0.01875,GFP75,R0.5,37.1,1.006469974666834,GFP,-1.7000000000000002,2225.7
37800.0,B2,0.01875,GFP75,R0.5,37.333333333333336,1.0053300485014915,GFP,0.0,2643.2
38700.0,B2,0.01875,GFP75,R0.5,37.166666666666664,1.0104500368237495,GFP,-1.2000000000000002,2489.0
39600.0,B2,0.01875,GFP75,R0.5,37.166666666666664,1.0164199687540532,GFP,1.2000000000000002,2309.4
40500.0,B2,0.01875,GFP75,R0.5,37.233333333333334,1.0063400097191333,GFP,-0.5999999999999996,2282.2
41400.0,B2,0.01875,GFP75,R0.5,36.96666666666667,1.0101299710571765,GFP,1.4000000000000004,2655.7
42300.0,B2,0.01875,GFP75,R0.5,37.1,1.0033700190484525,GFP,0.2999999999999998,2222.9
43200.0,B2,0.01875,GFP75,R0.5,37.1,1.0139099672436713,GFP,-1.2000000000000002,2293.7
0.0,B3,0.01875,MCH90,R2,37.199999999999996,-0.09391999915242194,mCherry,92.1,11.600000000000001
900.0,B3,0.01875,MCH90,R2,37.233333333333334,0.054580008983612066,mCherry,68.6,-4.100000000000001
1800.0,B3,0.01875,MCH90,R2,37.06666666666667,0.0711300067603588,mCherry,73.2,-4.100000000000001
2700.0,B3,0.01875,MCH90,R2,37.03333333333333,0.10708000361919404,mCherry,65.4,-3.1000000000000014
3600.0,B3,0.01875,MCH90,R2,37.1,0.14313998818397522,mCherry,52.7,-5.200000000000003
4500.0,B3,0.01875,MCH90,R2,37.13333333333333,0.204330013692379,mCherry,56.9,-6.399999999999999
5400.0,B3,0.01875,MCH90,R2,37.1,0.3891000136733055,mCherry,50.9,3.3999999999999986
6300.0,B3,0.01875,MCH90,R2,37.1,0.2693099990487099,mCherry,63.0,-8.899999999999999
7200.0,B3,0.01875,MCH90,R2,37.0,0.2891199797391891,mCherry,72.6,-4.200000000000003
8100.0,B3,0.01875,MCH90,R2,37.13333333333333,0.33528002053499223,mCherry,93.8,-9.600000000000001
9000.0,B3,0.01875,MCH90,R2,37.06666666666667,0.4009599804878235,mCherry,127.2,-8.5
9900.0,B3,0.01875,MCH90,R2,37.1,0.4400199934840202,mCherry,173.6,-7.899999999999999
10800.0,B3,0.01875,MCH90,R2,37.03333333333333,0.48884001523256304,mCherry,254.8,-5.799999999999997
11700.0,B3,0.01875,MCH90,R2,37.199999999999996,0.520499986410141,mCherry,409.2,-6.700000000000003
12600.0,B3,0.01875,MCH90,R2,37.1,0.5349699959158898,mCherry,532.0,-6.700000000000003
13500.0,B3,0.01875,MCH90,R2,37.06666666666667,0.5825800009071826,mCherry,759.2,-6.799999999999997
