Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/24/2024,,,,,,,,
Time:,11:29:26 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,60,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,92,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,660,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-G11,,,,,
Start Time:,9/24/2024 11:29:26 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7200
Temp. [°C],36.5,37.3,37.2,37,37.2,37,37,37.2,37.1
B2,252,240,240,242,242,243,245,244,246
B3,247,238,239,240,241,240,241,244,241
B4,253,238,238,236,239,239,240,241,243
B5,250,237,240,238,241,238,239,242,243
B6,250,234,239,235,240,235,237,239,241
B7,256,237,237,237,242,236,238,240,242
B8,255,233,237,236,238,235,240,239,239
B9,253,234,236,233,238,237,238,239,238
B10,252,234,239,237,238,237,240,239,242
B11,256,234,235,234,236,236,236,239,239
C2,3478,4349,4417,4546,4787,5042,5330,5597,5739
C3,2554,4819,4809,4885,5083,5335,5623,5852,5982
C4,4989,5557,5636,5811,6181,6604,7146,7685,8139
C5,4254,4888,4816,4809,4897,4953,5092,5245,5402
C6,5326,6547,6550,6619,6859,7130,7501,7846,8083
C7,255,238,242,241,241,240,245,248,248
C8,247,236,241,238,242,242,243,244,246
C9,244,239,239,237,241,241,244,244,246
C10,270,250,247,246,246,247,248,250,251
C11,262,247,249,248,254,251,250,255,258
D2,2121,2815,3092,3441,3882,4235,4585,4798,4884
D3,4664,5268,5345,5566,5890,6170,6542,6801,6944
D4,5349,5739,5746,6018,6408,6838,7464,8035,8574
D5,5736,7769,7751,7901,8263,8711,9322,9883,10338
D6,3746,4693,4980,5393,5999,6622,7291,7848,8188
D7,257,241,243,241,244,242,246,248,251
D8,244,236,240,237,245,241,245,247,249
D9,243,238,240,238,242,240,244,243,247
