time,well,iptg,strain,rbs,temp,OD660,fluor,mCherry,GFP
0.0,B3,0.01875,GFP75,R2,37.06666666666667,0.022382860950061256,GFP,0.40000000000000036,1253.942857142857
900.0,B3,0.01875,GFP75,R2,37.16666666666667,0.024451430141925815,GFP,0.05714285714285694,1040.2285714285715
1800.0,B3,0.01875,GFP75,R2,37.06666666666667,0.03391714628253664,GFP,-2.8000000000000007,1041.2
2700.0,B3,0.01875,GFP75,R2,37.03333333333333,0.05172571986913681,GFP,0.48571428571428577,1102.6
3600.0,B3,0.01875,GFP75,R2,37.06666666666667,0.07771142636026655,GFP,0.3428571428571434,1212.3428571428572
4500.0,B3,0.01875,GFP75,R2,37.166666666666664,0.11104570925235749,GFP,-0.685714285714285,1357.057142857143
5400.0,B3,0.01875,GFP75,R2,37.1,0.15376571693590707,GFP,0.08571428571428541,1552.7142857142858
6300.0,B3,0.01875,GFP75,R2,37.1,0.199105709365436,GFP,-0.02857142857142847,1792.3428571428572
7200.0,B3,0.01875,GFP75,R2,37.166666666666664,0.2521343001297542,GFP,-0.8000000000000007,2031.6
8100.0,B3,0.01875,GFP75,R2,37.06666666666667,0.30489715422902786,GFP,-1.1999999999999993,2200.8571428571427
9000.0,B3,0.01875,GFP75,R2,37.06666666666667,0.36074284676994595,GFP,-0.685714285714285,2375.7428571428572
9900.0,B3,0.01875,GFP75,R2,37.13333333333333,0.39781143409865244,GFP,0.02857142857142847,2566.6285714285714
10800.0,B3,0.01875,GFP75,R2,37.13333333333333,0.4313485935330391,GFP,-0.9714285714285715,2729.1428571428573
11700.0,B3,0.01875,GFP75,R2,37.300000000000004,0.47085428876536234,GFP,-0.2857142857142865,2855.0
12600.0,B3,0.01875,GFP75,R2,37.1,0.5061685915504183,GFP,-2.5428571428571427,2970.1428571428573
13500.0,B3,0.01875,GFP75,R2,37.16666666666667,0.5448714322277478,GFP,-0.11428571428571388,3033.3714285714286
14400.0,B3,0.01875,GFP75,R2,37.233333333333334,0.5781200030020305,GFP,2.8000000000000007,3097.6
15300.0,B3,0.01875,GFP75,R2,37.1,0.617354280608041,GFP,2.0,3107.114285714286
16200.0,B3,0.01875,GFP75,R2,37.06666666666667,0.6385857260652951,GFP,-2.885714285714286,3119.714285714286
17100.0,B3,0.01875,GFP75,R2,37.166666666666664,0.6617742998259408,GFP,0.742857142857142,3127.5142857142855
