Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/14/2024,,,,,,,,
Time:,1:15:57 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,60,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,92,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,660,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-G11,,,,,
Start Time:,9/14/2024 1:15:57 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7200
Temp. [°C],37.2,37.4,37.2,37,37.2,37,37.2,37.3,37
B2,279,244,242,241,244,240,246,246,245
B3,242,240,235,240,238,236,240,239,241
B4,243,240,237,239,237,233,241,237,238
B5,245,242,239,243,237,236,242,240,240
B6,247,238,235,238,236,233,236,236,235
B7,11,9,9,9,12,11,11,13,11
B8,8,8,9,10,10,10,11,11,11
B9,10,8,9,10,10,10,10,9,10
B10,9,8,8,9,11,10,10,11,11
B11,9,9,8,10,9,10,10,10,10
C2,4286,4004,3892,3832,3829,3801,3861,3868,3895
C3,6151,5447,5286,5180,5177,5195,5286,5347,5405
C4,5952,5143,4986,4881,4898,4865,4942,4972,5057
C5,7476,6523,6331,6167,6155,6096,6148,6158,6214
C6,7050,6190,6041,5913,5927,5907,5979,6015,6104
C7,10,9,10,10,9,10,11,12,12
C8,9,9,10,9,8,10,10,11,10
C9,8,8,8,9,9,9,11,11,11
C10,10,9,9,9,10,10,11,11,10
C11,9,9,9,9,9,9,11,10,10
D2,6259,5551,5394,5297,5311,5305,5415,5492,5499
D3,5836,5347,5155,5085,5076,5062,5203,5258,5350
D4,7148,6564,6343,6257,6281,6307,6526,6656,6811
D5,7022,6422,6228,6118,6153,6145,6354,6490,6619
D6,6975,6355,6139,6079,6105,6119,6279,6435,6503
D7,9,10,9,10,11,12,11,12,12
D8,9,10,9,9,10,9,11,10,11
D9,9,8,9,9,10,10,11,11,11
