Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/6/2024,,,,,,,,
Time:,11:46:29 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,60,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,92,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,660,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-G11,,,,,
Start Time:,9/6/2024 11:46:29 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7200
Temp. [°C],37.1,37.2,37,37.2,37.2,37.2,37.3,37.3,37.2
B2,339,311,318,310,315,312,315,315,318
B3,334,311,315,307,313,311,314,312,315
B4,360,309,316,309,313,312,317,312,317
B5,370,323,330,323,329,325,332,328,332
B6,345,311,315,309,317,311,316,310,315
B7,8,8,9,8,8,9,9,9,10
B8,8,8,8,8,8,8,9,9,9
B9,7,8,9,8,10,8,9,9,9
B10,8,7,8,8,8,9,9,9,9
B11,8,9,8,9,10,8,9,9,8
C2,8945,8401,8005,7755,7858,8021,8385,8740,9126
C3,7261,7008,6504,6196,6235,6206,6284,6355,6441
C4,7420,7646,6999,6639,6714,6820,7084,7305,7532
C5,8330,8815,8257,7738,7716,7644,7935,8182,8537
C6,7140,6278,6245,6195,6376,6612,7022,7406,7816
C7,8,8,10,8,10,9,10,11,9
C8,8,9,8,9,8,8,9,8,10
C9,9,9,8,8,9,8,9,8,8
C10,8,8,7,9,10,9,9,9,9
C11,8,8,8,8,9,9,8,10,9
D2,8005,7736,7447,7223,7258,7453,7831,8201,8678
D3,9170,8253,7849,7588,7682,7833,8165,8471,8884
D4,7941,7927,7449,7053,7192,7291,7648,7896,8304
D5,9301,9299,9027,8381,8287,8108,8500,8633,9017
D6,7885,6278,6218,6124,6289,6412,6752,7017,7371
D7,7,9,8,9,10,9,9,9,9
D8,9,8,7,8,9,7,8,10,9
