time,well,iptg,strain,rbs,temp,OD660,fluor,mCherry,GFP
0.0,B2,0.01875,MCH25,R0.25,37.13333333333333,0.025539998710155484,mCherry,93.7,7.399999999999977
900.0,B2,0.01875,MCH25,R0.25,37.06666666666666,0.03428000211715698,mCherry,86.1,2.5
1800.0,B2,0.01875,MCH25,R0.25,37.06666666666667,0.04944999366998673,mCherry,82.8,0.8000000000000114
2700.0,B2,0.01875,MCH25,R0.25,37.1,0.07590999528765678,mCherry,86.1,1.5
3600.0,B2,0.01875,MCH25,R0.25,37.266666666666666,0.11288999766111374,mCherry,99.1,1.0999999999999943
4500.0,B2,0.01875,MCH25,R0.25,37.13333333333333,0.1530600033700466,mCherry,126.9,5.800000000000011
5400.0,B2,0.01875,MCH25,R0.25,37.1,0.1826299987733364,mCherry,193.7,4.0
6300.0,B2,0.01875,MCH25,R0.25,37.199999999999996,0.2065900020301342,mCherry,364.8,4.699999999999989
7200.0,B2,0.01875,MCH25,R0.25,37.300000000000004,0.22568001076579094,mCherry,646.2,7.699999999999989
8100.0,B2,0.01875,MCH25,R0.25,37.26666666666667,0.2443000167608261,mCherry,1082.1,6.699999999999989
9000.0,B2,0.01875,MCH25,R0.25,37.23333333333333,0.2621099889278412,mCherry,1620.9,7.0
9900.0,B2,0.01875,MCH25,R0.25,37.233333333333334,0.2817199923098087,mCherry,2204.2,7.699999999999989
10800.0,B2,0.01875,MCH25,R0.25,37.1,0.30132000967860223,mCherry,2805.0,8.199999999999989
11700.0,B2,0.01875,MCH25,R0.25,37.06666666666667,0.31708999425172807,mCherry,3397.5,6.5
12600.0,B2,0.01875,MCH25,R0.25,37.266666666666666,0.33523998931050303,mCherry,3927.9,7.5
13500.0,B2,0.01875,MCH25,R0.25,37.300000000000004,0.35442999973893163,mCherry,4327.2,9.800000000000011
14400.0,B2,0.01875,MCH25,R0.25,37.166666666666664,0.3776600040495396,mCherry,4610.4,9.5
15300.0,B2,0.01875,MCH25,R0.25,37.26666666666666,0.4054299987852573,mCherry,4841.6,10.5
16200.0,B2,0.01875,MCH25,R0.25,37.266666666666666,0.43839000463485717,mCherry,4993.7,13.699999999999989
17100.0,B2,0.01875,MCH25,R0.25,37.266666666666666,0.4759299837052822,mCherry,5161.9,15.699999999999989
18000.0,B2,0.01875,MCH25,R0.25,37.13333333333333,0.5138199731707573,mCherry,5181.5,19.69999999999999
18900.0,B2,0.01875,MCH25,R0.25,37.1,0.5572199888527394,mCherry,5301.6,27.0
19800.0,B2,0.01875,MCH25,R0.25,37.333333333333336,0.6076699815690517,mCherry,5297.3,30.19999999999999
20700.0,B2,0.01875,MCH25,R0.25,37.1,0.6307499825954437,mCherry,5376.5,36.19999999999999
21600.0,B2,0.01875,MCH25,R0.25,37.199999999999996,0.6446599811315536,mCherry,5486.2,33.30000000000001
22500.0,B2,0.01875,MCH25,R0.25,37.166666666666664,0.6618799738585949,mCherry,5589.3,38.69999999999999
23400.0,B2,0.01875,MCH25,R0.25,37.36666666666667,0.6794799730181694,mCherry,5633.8,39.5
24300.0,B2,0.01875,MCH25,R0.25,37.06666666666667,0.6944800190627575,mCherry,5716.4,46.900000000000006
25200.0,B2,0.01875,MCH25,R0.25,37.199999999999996,0.7119700036942959,mCherry,5656.1,48.80000000000001
26100.0,B2,0.01875,MCH25,R0.25,37.03333333333333,0.7292400129139424,mCherry,5726.0,50.599999999999994
27000.0,B2,0.01875,MCH25,R0.25,37.23333333333333,0.7426999703049659,mCherry,5752.5,54.400000000000006
27900.0,B2,0.01875,MCH25,R0.25,37.06666666666667,0.7549999855458737,mCherry,5807.1,57.19999999999999
28800.0,B2,0.01875,MCH25,R0.25,37.199999999999996,0.7696100242435933,mCherry,5740.9,60.30000000000001
29700.0,B2,0.01875,MCH25,R0.25,37.333333333333336,0.7801799945533275,mCherry,5805.1,60.0
30600.0,B2,0.01875,MCH25,R0.25,37.233333333333334,0.7890899822115898,mCherry,5844.4,66.30000000000001
31500.0,B2,0.01875,MCH25,R0.25,37.1,0.7990100152790547,mCherry,5914.7,68.30000000000001
32400.0,B2,0.01875,MCH25,R0.25,37.233333333333334,0.8083399832248688,mCherry,5961.0,68.9
33300.0,B2,0.01875,MCH25,R0.25,37.13333333333333,0.8170399785041809,mCherry,5998.5,71.80000000000001
34200.0,B2,0.01875,MCH25,R0.25,37.233333333333334,0.8322300247848033,mCherry,6115.7,73.5
35100.0,B2,0.01875,MCH25,R0.25,37.166666666666664,0.8422799877822399,mCherry,6139.3,77.69999999999999
36000.0,B2,0.01875,MCH25,R0.25,37.33333333333333,0.8451800093054771,mCherry,6247.4,76.5
36900.0,B2,0.01875,MCH25,R0.25,37.23333333333333,0.8466199867427349,mCherry,6247.1,81.1
37800.0,B2,0.01875,MCH25,R0.25,37.33333333333333,0.848250013589859,mCherry,6301.1,84.30000000000001
38700.0,B2,0.01875,MCH25,R0.25,37.26666666666667,0.8485700041055679,mCherry,6281.3,83.5
39600.0,B2,0.01875,MCH25,R0.25,37.06666666666666,0.8503900215029716,mCherry,6304.7,85.4
40500.0,B2,0.01875,MCH25,R0.25,37.06666666666667,0.8507099777460099,mCherry,6267.8,90.69999999999999
41400.0,B2,0.01875,MCH25,R0.25,37.43333333333334,0.8532800085842609,mCherry,6316.2,91.69999999999999
42300.0,B2,0.01875,MCH25,R0.25,37.300000000000004,0.8536800153553485,mCherry,6249.9,95.6
43200.0,B2,0.01875,MCH25,R0.25,37.03333333333334,0.8556799739599228,mCherry,6262.7,99.6
0.0,B4,0.01875,MCH50,R2,37.13333333333333,0.026039999723434445,mCherry,135.7,4.399999999999977
900.0,B4,0.01875,MCH50,R2,37.06666666666666,0.03147999942302704,mCherry,120.1,1.5
1800.0,B4,0.01875,MCH50,R2,37.06666666666667,0.04524999707937241,mCherry,122.8,-1.1999999999999886
2700.0,B4,0.01875,MCH50,R2,37.1,0.06951000615954399,mCherry,126.1,-0.5
3600.0,B4,0.01875,MCH50,R2,37.266666666666666,0.10398999601602554,mCherry,142.1,2.0999999999999943
4500.0,B4,0.01875,MCH50,R2,37.13333333333333,0.1457599990069866,mCherry,167.9,1.8000000000000114
5400.0,B4,0.01875,MCH50,R2,37.1,0.1849299930036068,mCherry,240.7,2.0
6300.0,B4,0.01875,MCH50,R2,37.199999999999996,0.22059000059962272,mCherry,419.8,5.699999999999989
7200.0,B4,0.01875,MCH50,R2,37.300000000000004,0.25368000790476797,mCherry,770.2,5.699999999999989
8100.0,B4,0.01875,MCH50,R2,37.26666666666667,0.2872000128030777,mCherry,1303.1,6.699999999999989
9000.0,B4,0.01875,MCH50,R2,37.23333333333333,0.3213100075721741,mCherry,2034.9,5.0
9900.0,B4,0.01875,MCH50,R2,37.233333333333334,0.35441998615860937,mCherry,2835.2,5.699999999999989
10800.0,B4,0.01875,MCH50,R2,37.1,0.38671999499201776,mCherry,3629.0,5.199999999999989
11700.0,B4,0.01875,MCH50,R2,37.06666666666667,0.41999002248048783,mCherry,4254.5,8.5
12600.0,B4,0.01875,MCH50,R2,37.266666666666666,0.4617400296032429,mCherry,4760.9,10.5
13500.0,B4,0.01875,MCH50,R2,37.300000000000004,0.5058299995958805,mCherry,5136.2,10.800000000000011
14400.0,B4,0.01875,MCH50,R2,37.166666666666664,0.5473599709570408,mCherry,5297.4,17.5
15300.0,B4,0.01875,MCH50,R2,37.26666666666666,0.5862299896776676,mCherry,5355.6,24.5
16200.0,B4,0.01875,MCH50,R2,37.266666666666666,0.6353899717330933,mCherry,5425.7,31.69999999999999
17100.0,B4,0.01875,MCH50,R2,37.266666666666666,0.6593300186097621,mCherry,5538.9,28.69999999999999
18000.0,B4,0.01875,MCH50,R2,37.13333333333333,0.6776199743151665,mCherry,5724.5,33.69999999999999
18900.0,B4,0.01875,MCH50,R2,37.1,0.6943200297653676,mCherry,5917.6,40.0
19800.0,B4,0.01875,MCH50,R2,37.333333333333336,0.7085699759423733,mCherry,6064.3,42.19999999999999
20700.0,B4,0.01875,MCH50,R2,37.1,0.7229500234127044,mCherry,6186.5,45.19999999999999
21600.0,B4,0.01875,MCH50,R2,37.199999999999996,0.7360600084066391,mCherry,6281.2,48.30000000000001
22500.0,B4,0.01875,MCH50,R2,37.166666666666664,0.7491799764335155,mCherry,6349.3,49.69999999999999
23400.0,B4,0.01875,MCH50,R2,37.36666666666667,0.7624799773097038,mCherry,6473.8,53.5
24300.0,B4,0.01875,MCH50,R2,37.06666666666667,0.7717799715697765,mCherry,6461.4,58.900000000000006
25200.0,B4,0.01875,MCH50,R2,37.199999999999996,0.7856700144708156,mCherry,6493.1,59.80000000000001
